Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781758388,20,,Aggregated,3.800000,0.000000,250,250,250,250,260,270,290,320,1000,1000,1000,580,0,250,251.28501718445784,234.38387500027602,999.2235419995268,126.40862068965517
1781758393,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,320,1000,1000,1000,602,0,250,251.24580690695095,234.38387500027602,999.2235419995268,126.37375415282392
1781758399,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,320,1000,1000,1000,625,0,250,251.153937414373,234.38387500027602,999.2235419995268,126.4016
1781758404,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,320,1000,1000,1000,647,0,250,251.09937321017682,234.38387500027602,999.2235419995268,126.45131375579598
1781758410,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,320,1000,1000,1000,670,0,250,251.06301754624297,234.38387500027602,999.2235419995268,126.36268656716418
1781758416,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,320,1000,1000,1000,693,0,250,251.20332690762004,234.38387500027602,999.2235419995268,126.38816738816739
1781758422,20,,Aggregated,3.900000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,715,0,250,251.2354498936732,234.38387500027602,999.2235419995268,126.42657342657343
1781758427,20,,Aggregated,3.900000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,737,0,250,251.1337499511228,234.38387500027602,999.2235419995268,126.45590230664858
1781758433,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,759,0,250,251.04946454806296,234.38387500027602,999.2235419995268,126.50592885375494
1781758438,20,,Aggregated,4.100000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,781,0,250,250.98123870036363,234.38387500027602,999.2235419995268,126.52880921895006
1781758444,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,804,0,250,250.98413423381388,234.38387500027602,999.2235419995268,126.51741293532338
1781758449,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,826,0,250,251.1550539358182,234.38387500027602,999.2235419995268,126.49757869249395
