Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,Classify/fp32,1584,0,250,251.06770144755535,233.9590829978988,531.4565829976345,126.02462121212122,3.9737810620438134,0.0,250,250,250,250,260,280,290,300,490,530,530
,Aggregated,1584,0,250,251.06770144755535,233.9590829978988,531.4565829976345,126.02462121212122,3.9737810620438134,0.0,250,250,250,250,260,280,290,300,490,530,530
